node,x,y
c1_1,0,25
c1_2,0,375
c1_3,0,730
c1_4,0,1120
c1_5,0,1660
c1_6,0,1950
c1_7,0,2220
c1_8,0,2800

c2_1,780,25
c2_2,780,375
c2_3,780,730
c2_4,780,1120
c2_5,780,1660
c2_6,780,1950
c2_7,780,2220
c2_8,780,2800

c3_1,1616,25
c3_2,1616,375
c3_3,1616,730
c3_4,1616,1120
c3_5,1616,1660
c3_6,1616,1950
c3_7,1616,2220
c3_8,1616,2800

c4_1,1990,1130
c4_2,1990,1665
c4_3,1990,1950
c4_4,1990,2225

c5_1,2400,25
c5_2,2400,375
c5_3,2400,730
c5_4,2400,1120
c5_5,2400,1660
c5_6,2400,1950
c5_7,2400,2220
c5_8,2400,2800


